state,x,y
Alabama,-365.0,264.0
Alaska,-304.0,236.0
Arizona,-190.0,228.0
Arkansas,-54.0,215.0
California,33.0,211.0
Colorado,142.0,207.0
Connecticut,109.0,160.0
Delaware,205.0,157.0
Florida,364.0,162.0
Georgia,412.0,219.0
Hawaii,443.0,208.0
Idaho,430.0,178.0
Illinois,455.0,248.0
Indiana,432.0,153.0
Iowa,407.0,118.0
Kansas,325.0,105.0
Kentucky,263.0,69.0
Louisiana,197.0,37.0
Maine,130.0,46.0
Maryland,77.0,80.0
Massachusetts,-19.0,62.0
Michigan,-177.0,92.0
Minnesota,-396.0,147.0
Mississippi,-436.0,101.0
Missouri,-330.0,74.0
Montana,-261.0,59.0
Nebraska,-186.0,46.0
Nevada,-20.0,-5.0
New Hampshire,118.0,10.0
New Jersey,229.0,-7.0
New Mexico,322.0,51.0
New York,356.0,17.0
North Carolina,377.0,-28.0
North Dakota,204.0,-47.0
Ohio,116.0,-93.0
Oklahoma,-10.0,-90.0
Oregon,-146.0,-70.0
Pennsylvania,-292.0,-78.0
Rhode Island,-390.0,-45.0
South Carolina,-42.0,-194.0
South Dakota,112.0,-188.0
Tennessee,157.0,-155.0
Texas,260.0,-171.0
Utah,226.0,-124.0
Vermont,302.0,-116.0
Virginia,350.0,-80.0
Washington,349.0,-218.0
West Virginia,160.0,-206.0
Wisconsin,-8.0,-272.0
Wyoming,-200.0,-207.0
