Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 90th Percentile Salary
Accounting,46000,77000,45000,140000
Aerospace Engineering,64000,100000,65000,160000
Agricultural Economics,43000,78000,48000,135000
Architecture,50000,85000,52000,150000
Art History,42000,76000,45000,125000
Biology,40000,70000,42000,120000
Business Management,45000,85000,50000,145000
Chemical Engineering,65000,110000,70000,170000
Civil Engineering,56000,88000,55000,165000
Computer Engineering,61000,105000,70000,175000
Computer Science,62000,105000,68000,180000
Economics,52000,95000,60000,155000
Electrical Engineering,60000,102000,67000,170000
English,41000,70000,42000,120000
Finance,50000,95000,58000,165000
Graphic Design,38000,65000,38000,110000
History,40000,72000,43000,125000
Information Technology,48000,90000,55000,150000
Marketing,44000,78000,48000,135000
Mechanical Engineering,58000,95000,62000,160000
Nursing,52000,78000,50000,130000
Pharmacy,62000,105000,68000,175000
Physics,55000,93000,60000,155000
Political Science,42000,75000,45000,125000
Psychology,39000,72000,42000,120000
Sociology,40000,70000,40000,115000
Statistics,57000,98000,62000,165000
Theology,35000,65000,35000,105000
