MONTH,BTC_NEWS_SEARCH
2011-01,17
2011-02,20
2011-03,21
2011-04,22
2011-05,22
2011-06,27
2011-07,22
2011-08,27
2011-09,25
2011-10,29
2011-11,26
2011-12,19
2012-01,25
2012-02,23
2012-03,28
2012-04,14
2012-05,8
2012-06,14
2012-07,6
2012-08,13
2012-09,13
2012-10,5
2012-11,14
2012-12,0
2013-01,0
2013-02,0
2013-03,13
2013-04,0
2013-05,6
2013-06,10
2013-07,7
2013-08,22
2013-09,13
2013-10,14
2013-11,32
2013-12,19
2014-01,25
2014-02,28
2014-03,22
2014-04,33
2014-05,28
2014-06,27
2014-07,38
2014-08,22
2014-09,23
2014-10,22
2014-11,12
2014-12,15
2015-01,11
2015-02,3
2015-03,4
2015-04,10
2015-05,6
2015-06,6
2015-07,1
2015-08,3
2015-09,4
2015-10,4
2015-11,1
2015-12,9
2016-01,5
2016-02,17
2016-03,6
2016-04,15
2016-05,16
2016-06,21
2016-07,21
2016-08,25
2016-09,23
2016-10,26
2016-11,26
2016-12,32
2017-01,25
2017-02,24
2017-03,30
2017-04,30
2017-05,34
2017-06,43
2017-07,44
2017-08,56
2017-09,56
2017-10,62
2017-11,67
2017-12,58
2018-01,54
2018-02,40
2018-03,32
2018-04,24
2018-05,23
2018-06,10
2018-07,9
2018-08,21
2018-09,24
2018-10,31
2018-11,28
2018-12,41
2019-01,52
2019-02,67
2019-03,64
2019-04,69
2019-05,79
2019-06,76
2019-07,68
2019-08,66
2019-09,62
2019-10,49
2019-11,39
2019-12,42
2020-01,34
2020-02,28
2020-03,24
2020-04,19
2020-05,6
2020-06,8
2020-07,5
2020-08,13
2020-09,3
2020-10,8
2020-11,0
2020-12,3
