MONTH,TSLA_WEB_SEARCH,TSLA_USD_CLOSE
2010-01,6,12.0
2010-02,7,25.37
2010-03,10,21.05
2010-04,8,41.81
2010-05,7,33.24
2010-06,10,41.6
2010-07,12,40.38
2010-08,13,37.33
2010-09,13,51.73
2010-10,17,40.58
2010-11,19,49.89
2010-12,18,59.75
2011-01,14,59.55
2011-02,16,63.78
2011-03,16,64.21
2011-04,16,61.47
2011-05,12,55.26
2011-06,10,69.37
2011-07,14,85.47
2011-08,18,76.6
2011-09,13,68.24
2011-10,14,56.55
2011-11,12,84.29
2011-12,11,78.9
2012-01,7,69.9
2012-02,13,75.56
2012-03,6,76.05
2012-04,9,89.98
2012-05,8,78.73
2012-06,3,88.7
2012-07,8,87.55
2012-08,5,85.95
2012-09,11,82.55
2012-10,10,88.29
2012-11,7,92.1
2012-12,7,92.34
2013-01,8,91.62
2013-02,12,90.37
2013-03,10,84.72
2013-04,18,85.88
2013-05,9,83.02
2013-06,14,93.88
2013-07,21,102.81
2013-08,10,79.1
2013-09,16,94.37
2013-10,20,87.2
2013-11,15,95.35
2013-12,24,91.48
2014-01,17,99.47
2014-02,24,88.66
2014-03,24,90.06
2014-04,22,87.33
2014-05,33,106.01
2014-06,23,102.1
2014-07,33,89.3
2014-08,30,83.66
2014-09,33,84.91
2014-10,28,78.55
2014-11,25,108.25
2014-12,27,100.14
2015-01,32,112.13
2015-02,21,119.03
2015-03,27,100.84
2015-04,29,90.05
2015-05,25,100.2
2015-06,21,93.66
2015-07,26,98.23
2015-08,25,121.11
2015-09,26,117.09
2015-10,25,125.82
2015-11,18,99.13
2015-12,19,110.0
2016-01,18,105.22
2016-02,18,112.45
2016-03,19,118.54
2016-04,17,115.92
2016-05,25,116.98
2016-06,23,132.53
2016-07,20,133.07
2016-08,20,130.12
2016-09,28,132.12
2016-10,20,121.58
2016-11,26,133.95
2016-12,20,121.28
2017-01,25,132.73
2017-02,31,141.6
2017-03,31,149.25
2017-04,27,149.83
2017-05,29,135.1
2017-06,32,150.79
2017-07,28,160.29
2017-08,27,164.47
2017-09,36,158.39
2017-10,32,154.31
2017-11,35,179.38
2017-12,44,178.37
2018-01,33,169.09
2018-02,37,163.89
2018-03,38,172.71
2018-04,42,179.81
2018-05,38,200.9
2018-06,44,189.43
2018-07,37,186.47
2018-08,42,181.78
2018-09,43,198.97
2018-10,41,199.49
2018-11,40,197.22
2018-12,42,198.0
2019-01,37,193.11
2019-02,40,215.02
2019-03,36,205.03
2019-04,38,220.05
2019-05,33,186.93
2019-06,32,191.91
2019-07,32,224.46
2019-08,35,206.99
2019-09,37,236.6
2019-10,31,224.55
2019-11,35,221.32
2019-12,31,241.9
2020-01,33,221.24
2020-02,31,222.42
2020-03,32,222.28
2020-04,32,232.42
