MONTH,UE_BENEFITS_WEB_SEARCH,UNRATE
2004-01,26,4.3
2004-02,21,4.2
2004-03,33,4.8
2004-04,40,4.8
2004-05,23,4.4
2004-06,23,4.6
2004-07,26,4.0
2004-08,22,3.7
2004-09,22,3.9
2004-10,15,3.9
2004-11,30,3.8
2004-12,27,3.8
2005-01,28,4.1
2005-02,21,4.3
2005-03,27,5.0
2005-04,31,4.5
2005-05,36,4.4
2005-06,24,4.6
2005-07,34,3.9
2005-08,32,4.1
2005-09,14,3.6
2005-10,28,4.0
2005-11,28,4.0
2005-12,19,4.1
2006-01,24,4.2
2006-02,27,4.3
2006-03,29,4.6
2006-04,35,4.3
2006-05,19,4.7
2006-06,18,4.4
2006-07,37,4.3
2006-08,22,3.7
2006-09,23,4.0
2006-10,14,3.8
2006-11,15,3.7
2006-12,13,4.0
2007-01,29,4.4
2007-02,26,4.4
2007-03,29,4.8
2007-04,36,5.1
2007-05,24,4.5
2007-06,26,4.4
2007-07,24,4.5
2007-08,35,4.3
2007-09,21,3.6
2007-10,31,3.9
2007-11,37,4.0
2007-12,35,4.2
2008-01,29,4.9
2008-02,37,4.8
2008-03,35,5.2
2008-04,27,4.9
2008-05,26,5.2
2008-06,40,5.1
2008-07,24,4.7
2008-08,25,4.9
2008-09,25,4.5
2008-10,29,4.7
2008-11,45,4.7
2008-12,32,5.0
2009-01,37,5.0
2009-02,37,5.5
2009-03,25,5.5
2009-04,34,5.2
2009-05,36,5.2
2009-06,44,5.6
2009-07,41,5.3
2009-08,43,5.0
2009-09,50,5.1
2009-10,30,4.9
2009-11,34,4.9
2009-12,31,4.6
2010-01,29,5.0
2010-02,40,5.1
2010-03,31,5.5
2010-04,39,5.6
2010-05,34,5.1
2010-06,42,5.2
2010-07,37,5.2
2010-08,22,4.7
2010-09,36,4.3
2010-10,25,4.1
2010-11,30,4.6
2010-12,22,4.6
2011-01,43,4.6
2011-02,42,5.0
2011-03,33,5.4
2011-04,38,5.1
2011-05,38,5.2
2011-06,41,5.6
2011-07,49,5.7
2011-08,54,5.3
2011-09,34,5.5
2011-10,44,5.8
2011-11,39,5.9
2011-12,53,6.5
2012-01,58,7.1
2012-02,57,7.3
2012-03,60,7.9
2012-04,68,7.8
2012-05,68,7.9
2012-06,71,8.2
2012-07,66,8.3
2012-08,57,7.8
2012-09,64,8.0
2012-10,62,7.8
2012-11,62,7.9
2012-12,66,8.4
2013-01,78,8.2
2013-02,51,8.2
2013-03,67,7.9
2013-04,66,7.9
2013-05,54,7.8
2013-06,42,7.0
2013-07,48,6.8
2013-08,47,6.3
2013-09,50,6.1
2013-10,35,5.5
2013-11,34,5.4
2013-12,49,5.6
2014-01,46,5.4
2014-02,45,5.3
2014-03,32,5.1
2014-04,41,5.5
2014-05,32,5.5
2014-06,33,4.9
2014-07,29,4.9
2014-08,31,4.0
2014-09,22,4.1
2014-10,30,4.2
2014-11,27,4.0
2014-12,27,4.5
2015-01,23,4.4
2015-02,23,4.7
2015-03,42,4.9
2015-04,31,4.7
2015-05,35,5.2
2015-06,35,5.0
2015-07,21,4.7
2015-08,40,4.7
2015-09,30,4.2
2015-10,24,4.6
2015-11,29,4.9
2015-12,39,5.2
2016-01,46,5.7
2016-02,37,5.7
2016-03,48,6.3
2016-04,54,6.6
2016-05,42,6.2
2016-06,40,6.6
2016-07,39,6.2
2016-08,31,6.1
2016-09,43,5.6
2016-10,35,5.5
2016-11,35,5.8
2016-12,33,5.2
2017-01,45,5.6
2017-02,42,5.4
2017-03,41,5.5
2017-04,38,5.7
2017-05,31,5.4
2017-06,19,4.7
2017-07,32,4.6
2017-08,30,4.2
2017-09,14,4.0
2017-10,11,3.7
2017-11,31,4.3
2017-12,27,4.0
2018-01,32,4.2
2018-02,26,4.5
2018-03,40,4.5
2018-04,40,4.8
2018-05,38,4.8
2018-06,27,4.6
2018-07,28,4.3
2018-08,20,3.9
2018-09,35,3.6
2018-10,26,3.9
2018-11,26,4.1
2018-12,34,3.8
2019-01,36,4.4
